x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,label
8.203977,5.049394,2.510892,-8.826210,4.306338,9.816026,-5.692538,0.848662,7.602876,4.803743,4.887009,2.509776,-2.290320,-2.293859,6.902036,3.756889,5.405186,8.294225,-0.874877,1.275870,5.301969,3.771122,6.754450,5.948075,6.383573,-2.685935,-2.092515,-7.770317,3.480841,-10.941783,0.711243,0.004230,-2.336345,-1.154503,-6.267130,-9.632186,4.757621,-1.525621,-6.742491,1.079330,6.701309,0
560800695841.000000,-5.632629,2.048225,-9.916199,-9.125757,-0.088931,0.800991,2.906694,6.954150,8.470805,0.128531,-4.150442,3.939680,-0.506935,-2.531151,-7.913713,-7.112681,7.517837,7.946086,1.764346,-2.944300,-5.748271,-7.253069,-2.958815,1.164440,5.021314,2.238151,-5.855275,7.478967,3.449014,0.114155,3.854355,-1.043236,-6.834204,-3.457160,5.114419,-5.605297,-7.666537,-8.444867,-10.574737,8.118120,0
1917093376.000000,6.005786,-0.727672,-7.181622,0.637989,-0.433330,-4.728607,-2.441132,-3.250952,2.323233,2.179198,-13.170000,-3.531618,-0.464903,-0.386118,8.128324,3.249670,-6.554509,-8.806408,3.144740,-5.514868,1.222521,8.786046,0.299138,-4.901770,3.237510,0.749500,4.160402,8.566737,-2.640797,10.533563,10.504085,-7.814195,-7.682388,-5.425444,-9.984097,-9.732547,4.759428,-10.459961,-1.954031,9.684447,0
10.462281,7.133090,-8.765639,-7.346853,-1.729456,6.938221,10.394818,-6.757340,1.348897,-1.708566,8.207038,6.348304,4.190995,-1.848450,-0.827829,-3.714058,-7.898681,3.041302,6.376604,11.480584,10.948388,0.997857,6.303429,7.485475,8.370089,-5.397828,-2.162904,-7.474811,8.197374,0.468684,-5.733023,3.823533,3.476918,-2.186185,-4.369236,3.806154,2.615888,5.781561,1.373258,7.093578,1.590670,0
467069763783.000000,2.025963,8.949586,-4.233385,-7.703207,-10.799698,2.209181,3.189432,3.701715,-6.569783,-7.013764,-8.709839,-2.194330,0.983931,-1.975218,-0.017570,5.354745,-4.347878,0.157359,3.569968,-3.526880,4.259721,7.553981,8.945343,-8.435440,7.949558,-2.061514,-5.245801,-3.305453,11.431057,-1.408727,-4.860479,2.516089,-4.625817,-8.366222,-6.438400,-8.590834,-6.787702,-7.192912,3.411703,-5.733580,0
6239818454722.000000,-1.914067,10.676385,-0.705905,1.783998,-7.287713,-6.639309,-8.247196,-5.705429,-4.068058,-6.252622,-8.660025,-7.593335,-2.531153,-5.998397,-2.433081,1.470047,1.679834,-8.722385,8.483790,2.911667,-8.607558,8.408187,8.464874,-10.353380,-4.562710,7.101738,1.961442,-6.856581,-7.597464,-2.668239,0.499689,2.080892,-3.330770,-1.833450,3.877625,-8.392003,-4.177905,6.634072,8.578357,1.612500,0
-5.982110,-1.459874,-9.573990,6.219737,-5.310025,0.898956,-2.720935,1.474466,2.032044,-6.262489,8.159874,4.382180,10.932220,9.906495,2.129577,7.715597,-6.314077,-7.052647,-8.775065,-1.600653,-3.397328,-3.412106,7.303535,-2.920257,-5.772117,-0.160294,-6.776284,4.051268,-8.325946,10.495210,6.824204,-7.983386,-8.046811,8.682737,4.711359,3.126875,4.966054,-8.585743,-2.452037,-7.651845,7.000000,0
0.655700,2.338917,-3.010890,-9.373566,-4.253815,-4.302769,7.276287,4.800611,8.521667,1.299731,-6.490269,4.518675,3.107901,0.858514,4.950291,-1.710393,-1.625971,-0.759373,-9.037311,-9.476527,-10.415646,4.353919,-4.941655,0.410532,7.885640,-4.305247,-2.990892,5.237140,-5.187825,-8.138149,-4.094268,-6.293121,11.662432,9.748224,1.773173,4.183672,6.907135,-6.007845,9.336639,1.185685,6.230000,0
39457519234304.000000,-6.498452,3.900885,4.257205,2.769679,-2.995858,4.062067,-7.623236,-5.629815,4.661434,3.400952,8.135192,1.866635,1.050810,-9.260015,-1.086484,-2.900565,-2.378640,9.952360,0.473369,6.870868,2.925091,4.411079,0.855410,1.936719,-3.585032,-4.541690,5.646532,-5.162451,-9.119976,0.818207,-7.536095,11.145883,7.462486,8.310653,-4.551731,-9.217744,9.354214,-0.422535,9.988274,1.126997,0
8.979134,7.713819,-7.741479,-9.856941,-1.417081,7.290460,8.663924,-5.903803,2.317665,-3.572308,11.929894,8.076750,5.380252,-0.710120,-2.609375,-2.435841,-9.908581,8.101060,4.992315,12.358852,10.816947,1.946308,5.774287,8.987910,3.863990,-4.247971,-0.830923,-9.229426,9.376975,0.463864,-2.997762,3.531042,2.367395,-2.011473,-8.358444,3.207015,-0.134282,4.332266,-0.607384,7.005017,5.741100,0
